author,bookformat,desc,genre,img,isbn,isbn13,pages,rating,reviews,title,totalratings,rating_norm,reviews_norm,totalratings_norm,pages_norm
è¾›å¤·åž,Paperback,Unknown,"Fiction,Asian Literature,Chinese Literature,Cultural,China,Romance,Literature,Novels,Young Adult",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1303107160l/11143154.jpg,,8.94E+12,631,3.62,43,Anh cÃ³ thÃ­ch nÆ°á»›c Má»¹ khÃ´ng?,489,0.7240000000000001,0.0002708217866680103,0.00012803306133071646,0.009014285714285714
Ramones,CD,Unknown,"Music,Sequential Art,Comics",https://via.placeholder.com/120x180?text=No+Image,,81227466220,0,3.92,1,Weird Tales of the Ramones,24,0.784,6.298181085302564e-06,6.283831230955409e-06,0.0
"Peter, Paul & Mary,Peter Yarrow,Noel Paul Stookey,Mary Travers",CD,Unknown,Unknown,https://via.placeholder.com/120x180?text=No+Image,,81227316129,0,5.0,0,"Very Best of Peter, Paul & Mary",2,1.0,0.0,5.236526025796174e-07,0.0
"Hal Lindsey,Carole C. Carlson",Paperback,"No one thinks much about the Devil anymore. In fact, words like witchcraft and black magic have a strangely medieval ring to our ears. Many people even think of Satan as somehow comic -- and therefore harmless. Yet amidst the tragedy and corruption of our own century, it is ironic that many people doubt whether an active, evil force really exists. But Satan is not dead, says author Hal Lindsey; he has simply adopted a more modern style. Spiritualism, astrology, ""new age"" religion -- all of these and more are signs of the creeping influence of the Father of Lies in our time. In this book, Hal Lindsey, well-known speaker and author of the best-selling Late Great Planet Earth, outlines a battle plan for overcoming this very real and insidious enemy. The times may change, but the conflict is as old as the Garden of Eden. Whatever happened to old What's-his-name?","Christian,Religion,Religion,Christianity,Nonfiction,Spirituality,Religion,Theology,Christian,Christian Living,Christian,Christian Non Fiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381324562l/1122640.jpg,310277914,25986277918,256,3.24,33,Satan Is Alive and Well on Planet Earth,300,0.6480000000000001,0.00020783997581498462,7.854789038694261e-05,0.003657142857142857
Jesse Gress,Paperback,"Spice up your playing with The Guitar Cookbook! Written by Guitar Player magazine music editor Jesse Gress, this collection of ""recipes"" for satisfying a wide variety of musical appetites is for beginning to advanced guitarists. It covers all the ingredients for cooking up great music on the guitar: music notation, tuning, intonation, rhythm, melody, scales, motifs, harmony, ear-training, technique, improvisation and much more. Players will develop a personalized musical vocabulary; learn how to apply it to many different styles; master basic guitar techniques; and let the musical ideas sizzle!",Music,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348518446l/1155003.jpg,879306335,73999307399,256,3.91,0,"The Guitar Cookbook: The Complete Guide to Rhythm, Melody, Harmony, Technique & Improvisation",11,0.782,0.0,2.8800893141878958e-06,0.003657142857142857
LeRoy Eims,Paperback,"""Every believer in Jesus Christ deserves the opportunity of personal nurture and development."" says LeRoy Eims. But all too often the opportunity isn't there. We neglect the young Christian in our whirl of programs, church services, and fellowship groups. And we neglect to raise up workers and leaders who can disciple young believers into mature and fruitful Christians. In simple, practical, and biblical terms, LeRoy Eims revives the lost art of disciple making. He explains: - How the early church discipled new Christians - How to meet the basic needs of a growing Christian - How to spot and train potential workers - How to develop mature, godly leaders ""True growth takes time and tears and love and patience,"" Eims states. There is no instant maturity. This book examines the growth process in the life of a Christian and considers what nurture and guidance it takes to develop spiritually qualified workers in the church.","Christianity,Discipleship,Christian,Christian,Christian Living,Nonfiction,Religion,Christianity,Religion,Leadership,Religion,Church,Religion,Faith,Spirituality",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344742349l/1164536.jpg,031037281X,25986372811,192,4.08,45,The Lost Art of Disciple Making,593,0.8160000000000001,0.0002834181488386154,0.00015526299666485655,0.002742857142857143
Greg Stolze,Paperback,"Ten Seconds to Midnight , Sabriel, seductive fallen angel that she is, has been playing games with the souls of mortals and devils alike. The demons Hasmed and Usiel have both felt the sting of her tender mercies, but now they may be her only hope of staving off an apocalypse. The ancient creature called Avitu has decided that humanity, demons, and all the universe want nothing more than oblivion. Can Sabriel prove it wrong? Does she even want to? , About the Author , Greg Stolze is the author of countless roleplaying products, both for White Wolf and other top publishers. His fiction has appeared in Adventure! and Demon: Lucifers Shadow. The Wreckage of Paradise concludes his Trilogy of the Fallen.","Horror,Role Playing Games,World Of Darkness,Fantasy,Urban Fantasy,Games,Role Playing Games",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387712964l/1167572.jpg,1588468070,99379100923,285,3.86,5,The Wreckage of Paradise,63,0.772,3.149090542651282e-05,1.649505698125795e-05,0.004071428571428571
FrÃ©dÃ©ric Chopin,Paperback,"The Piano Concerto No. 1 in E minor, Op. 11, is a piano concerto written by FrÃ©dÃ©ric Chopin in 1830. It was first performed on 11 October of that year, in Warsaw, with the composer as soloist, during one of his ""farewell"" concerts before leaving Poland.,It was the first of Chopin's two piano concertos to be published, and was therefore given the designation of Piano Concerto ""No. 1"" at the time of publication, even though it was actually written immediately after what was later published as Piano Concerto No. 2. It is dedicated to Friedrich Kalkbrenner.,The concerto is scored for solo piano, pairs of flutes, oboes, clarinets, and bassoons, 4 horns, 2 trumpets, tenor trombone, timpani and strings.",Unknown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327123932l/11771010.jpg,,8.84E+11,124,4.8,0,Concerto For Piano And Orchestra No 1 E Minor Opus 11,5,0.96,0.0,1.3091315064490435e-06,0.0017714285714285714
P. Seshadri,Kindle Edition,Unknown,Unknown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308680237l/11795063.jpg,,8172763859,47,4.0,0,Sandhyavandanam,2,0.8,0.0,5.236526025796174e-07,0.0006714285714285714
"Linda; Cobb, Linda Queen For All Seasons Cobb",Unknown Binding,"First Edition. Glossy hardback with bright burgundy boards and with white and gold lettering. No dust jacket. Linda Cobb, Author. Printed in the USA. Rodale Publishing. 2002 edition. Cover and design by Tara A. Long. Total 392 pages. Approximate size, 6.50 x 9.50. The pages are clean and without markings or tears. The spine is tight and straight. ""Banish dirt from your castle forever with 2,047 Queen tested tips in this book."" ""Features: Five palace essentials you should never be without; Health and budget basics; The Queen's royal carpet treatment; Floor cleaning; The throne and beyond; Fine furnishings and furniture; Kids, pets, and other messy subjects; A to Z palace spot and stain removal guide; and so much more!"" A must have for the ""lady of the house"" in keeping it operating, clean and enjoyable to live in. Makes a nice gift for someone just starting out in their own home or for someone who has been in their home for years. Always a handy book to keep around for those unexpected things that occur and you just do not know what to do about it, this book will assist. Order now! *4BC2",Reference,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387720480l/1181038.jpg,1579546609,1579546609,392,4.18,4,"The Queen of Clean's Complete Cleaning Guide: Banish Dirt from Your Castle Orever with 2,047 Queen-Tested Tips",11,0.836,2.5192724341210258e-05,2.8800893141878958e-06,0.0056
Mohamed Talbi,,"Lâ€™islam en particulier, venu aprÃ¨s tant dâ€™autres religions, rÃ©agissant de maniÃ¨re trÃ¨s critique vis-Ã -vis des pratiques religieuses prÃ©valant dans son contexte, a voulu proposer une plateforme claire, sans Ã©quivoque, en rupture avec les ambiguÃ¯tÃ©s qui avaient prÃ©cÃ©dÃ©. Il est vrai que les musulmans ont divergÃ© sur les contenus et significations quâ€™il fallait attribuer Ã  leur foi, et quâ€™ils se sont mÃªme entretuÃ©s Ã  ce sujet. Mais ils en sont arrivÃ©s Ã  ces extrÃªmes justement parce quâ€™ils avaient (ou croyaient avoir) une idÃ©e claire, absolument certaine, et Ã  leurs yeux dÃ©finitive, de la vÃ©ritÃ© enseignÃ©e par la religion et des implications qui en dÃ©coulent dans la vie des musulmansâ€¦",Unknown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309077586l/11844571.jpg,,9954415386,128,3.54,3,RÃ©flexion d'un musulman contemporain,13,0.7080000000000001,1.8894543255907692e-05,3.403741916767513e-06,0.0018285714285714285
"Margaret Levine Young,John R. Levine",Paperback,"Get instant access to the UNIX commands and functions you need with this fast and friendly reference guide to all things UNIX. UNIX For Dummies Quick Reference, 4th Edition, clues you in to the most popular and essential parts of UNIX: X Windows managers, text editors, sending and receiving electronic mail, and networking., , Starting with the UNIX shell and moving steadily deeper inside the UNIX environment, UNIX For Dummies Quick Reference, 4th Edition, cuts to the chase with clear, concise answers to all your UNIX questions. From the basics of entering commands, organizing files and directories, and determining which shell you're using, this valuable little reference book steers you in the right direction. More than 100 basic UNIX commands are alphabetically sorted for easy lookups, and advanced topics on X Windows managers, text editors, and online components are all just a few pages away., , Why bother with the hassles of sorting through thousands of pages of text when the answers you need are all right here, tucked inside a lay-flat binding that lets you keep your book open to the page you're reading. Could using a UNIX reference be any easier?",Unknown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348127337l/1184740.jpg,764504207,7.86E+11,210,3.5,0,Unix for Dummies Quick Reference,14,0.7000000000000001,0.0,3.665568218057322e-06,0.003
Jennifer Chiaverini,Paperback,"Bring a bit of Elm Creek into your home with the latest quilt designs inspired by the New York Times best-selling novels. This collection includes two Hawaiian-style patterns and a double wedding ring quilt, as well as the popular 'Cornucopia of Thanks' sampler.","Crafts,Quilting,Art,Crafts",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420749577l/11912489.jpg,1607054027,5.00E+11,128,4.23,4,Traditions from Elm Creek Quilts: 13 Quilts Projects to Piece and Applique,79,0.8460000000000001,2.5192724341210258e-05,2.068427780189489e-05,0.0018285714285714285
James Felici,Paperback,"Testimonials, ""The ultimate typographic tool: a concise, beautiful book that pulls together everything you need to produce great typography."", --Frank Romano, RIT School of Print Media,""Clear and elegant...There's no better or more useful introduction to the whole craft of typography."", --Roger Black, Danilo Black, Inc.,""All you've always wanted to know about type and typography but never dared to ask. Jim Felici brings together a vast amount of knowledge in this book. Must-have!"", --Erik Spiekermann, author, Stop Stealing Sheep (and Find Out How Type Works),This book is about how type should look and how to make it look that way; in other words, how to set type like a professional. It releases the craft knowledge that used to reside almost exclusively in the heads of people working in type shops. The shops are gone, the technologies have changed, but the goal remains the same. This book explains in very practical terms how to use today's computerized tools to achieve that secret of good design: well-set type.,Beautifully designed and richly illustrated, ,The Complete Manual of Typography, is an essential reference for anyone who works with type. Designers, print production professionals, and corporate communications managers can go straight to the index to find focused answers to specific questions, while educators and students can read it as a textbook from cover to cover. You'll find:,History, basic concepts, and anatomy of good typography, concisely presented and indexed for quick reference by busy professionals. Straight-ahead instructions for how to manage fonts, handle corrupted or missing fonts, and find the characters you need. Clear, useful explanations of what makes good type good (and bad type bad) . Detailed guidance on controlling the fundamentals of type, including measure, point size, leading, kerning, and hyphenation and justification. Practical advice on how to fix and avoid composition problems such as loose lines, bad rags, widows and orphans. Hard-to-find rules for managing indents and alignments, skews, wraps, expert-set characters, and tables. Scores of workarounds that show how to wring good type out of uncooperative word-processing and layout programs.","Design,Nonfiction,Art,Art Design,Reference,Art,Textbooks,Business,Computer Science,Computers",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348664464l/119144.jpg,321127307,76092019848,384,4.11,13,The Complete Manual of Typography,625,0.8220000000000001,8.187635410893334e-05,0.00016364143830613045,0.005485714285714286
George Gershwin,Paperback,"George Gershwin's three most famous preludes demonstrate his genius for piano writing, and portray a variety of styles. Prelude I exudes energetic syncopation, Prelude II is a lyric blues with an ostinato-like accompaniment, and Prelude III closes this set brilliantly with rugged rhythms and exciting syncopations. All three preludes were selected for the Federation Festivals 2011-2013.",Unknown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356004831l/1193760.jpg,739041584,38081278759,0,4.56,0,Gershwin Three Preludes For The Piano (Masterworks),9,0.9119999999999999,0.0,2.3564367116082784e-06,0.0
"Chingiz Aitmatov,Refik Ã–zdek",Paperback,"Aytmatov'un, edebiyat Ã¢leminde geniÅŸ akisler uyandÄ±ran, verilmek istenen mesajla yaratÄ±lan tiplerin bÃ¼yÃ¼k bir uyum saÄŸladÄ±ÄŸÄ± eserlerinden biridir. RomanÄ±n kahramanÄ± yedi sekiz yaÅŸlarÄ±nda bir Ã§ocuktur. Ã‡ocuk; saflÄ±ÄŸÄ±n, bozulmamÄ±ÅŸlÄ±ÄŸÄ±n ve geleceÄŸin sembolÃ¼dÃ¼r. Aytmatov, Ã§ocuÄŸun saf ve temiz dÃ¼nyasÄ±ndan, hayatÄ±n acÄ± ve Ã§Ä±plak gerÃ§eÄŸine uzanan bir roman kurgusunu meydana Ã§Ä±karmayÄ± baÅŸarÄ±r. Ona gÃ¶re; Ã§ocukluk, gelecekteki insan karakterinin tohumudur. Ã‡ocukluk gerÃ§ek ana dili Ã¶ÄŸrenmeye ve Ã§evresindeki insanlarla, tabiatla ve Ã¶zellikle kÃ¼ltÃ¼rle baÄŸlarÄ±nÄ± hissetmeye baÅŸladÄ±ÄŸÄ± dÃ¶nemdir.,Aytmatov, Beyaz Gemi ile destan, efsane ve masal gibi Ã§oÄŸu ÅŸifahÃ® edebiyat unsurlarÄ±nÄ± eserlerine sokmaya baÅŸlar. GeÃ§miÅŸi temsil eden dede ile geleceÄŸi temsil eden Ã§ocuk arasÄ±nda dramatik bir iliÅŸki kurarak insan duygu ve dÃ¼ÅŸÃ¼ncelerine kendine has yorumlar getirir.","Fiction,Classics,Roman,Literature,Cultural,Russia,Literature,Russian Literature,Cultural,Turkish,Novels,Asian Literature,Turkish Literature,Cultural,Asia",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421411107l/11963206.jpg,9754370435,9.80E+12,168,4.12,255,Beyaz Gemi,4357,0.8240000000000001,0.0016060361767521539,0.0011407771947196965,0.0024
"Jenni Schaefer,Thom Rutledge",Paperback,"Jenni had been in an abusive relationship with Ed for far too long. He controlled Jenniâ€™s life, distorted her self-image, and tried to physically harm her throughout their long affair. Then, in therapy, Jenni learned to treat her eating disorder as a relationship, not a condition. By thinking of her eating disorder as a unique personality separate from her own, Jenni was able to break up with Ed once and for all.,Inspiring, compassionate, and filled with practical exercises to help you break up with your own personal E.D., ""Life Without Ed"" provides hope to the millions of people plagued by eating disorders. Beginning with Jenniâ€™s â€œdivorceâ€ from Ed, this supportive, lifesaving book combines a patientâ€™s insights and experiences with a therapistâ€™s prescriptions for success to help you live a healthier, happier life without Ed.","Nonfiction,Self Help,Health,Mental Health,Psychology,Health,Autobiography,Memoir,Mental Health,Mental Illness,Psychology,Counselling,Biography,Social Science,Social Work",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373224830l/119728.jpg,1487660782,9.71E+11,188,4.05,210,Life Without Ed: How One Woman Declared Independence from Her Eating Disorder and How You Can Too,2757,0.81,0.0013226180279135385,0.0007218551126560026,0.0026857142857142856
Shahrier Khan,Paperback,"à¦¬à§‡à¦¸à¦¿à¦• à¦†à¦²à§€ à¦•à¦¾à¦°à§à¦Ÿà§à¦¨ à¦¸à§à¦Ÿà§à¦°à¦¿à¦ªà§‡à¦° à¦ªà§à¦°à¦¥à¦® à¦†à¦¤à§à¦®à¦ªà§à¦°à¦•à¦¾à¦¶ 'à¦ªà§à¦°à¦¥à¦® à¦†à¦²à§‹'à¦° à¦‰à¦ªà¦¸à¦®à§à¦ªà¦¾à¦¦à¦•à§€à¦¯à¦¼ à¦ªà¦¾à¦¤à¦¾à¦¯à¦¼, à¦¨à¦­à§‡à¦®à§à¦¬à¦° à§¨à§¦à§¦à§¬-à¦à¥¤ à¦ªà§à¦°à¦¤à¦¿à¦¦à¦¿à¦¨à§‡à¦° à¦à¦‡ à¦¸à§à¦Ÿà§à¦°à¦¿à¦ª à¦•à¦¾à¦°à§à¦Ÿà§à¦¨à§‡à¦° à¦®à§‚à¦² à¦¬à¦¿à¦·à¦¯à¦¼ à¦¹à¦šà§à¦›à§‡ à¦ªà¦°à¦¿à¦¬à¦¾à¦°, à¦¬à¦¨à§à¦§à§à¦¤à§à¦¬ à¦à¦¬à¦‚ à¦…à¦«à¦¿à¦¸ à¦˜à¦¿à¦°à§‡ à¦®à¦œà¦¾à¦° à¦®à¦œà¦¾à¦° à¦¸à¦¬ à¦˜à¦Ÿà¦¨à¦¾à¥¤,à¦¬à§‡à¦¸à¦¿à¦• à¦†à¦²à§€ à¦¹à¦šà§à¦›à§‡ à¦¬à¦¿à¦¶à¦¿à¦·à§à¦Ÿ à¦‹à¦£à¦–à§‡à¦²à¦¾à¦ªà§€ à¦¬à§à¦¯à¦¬à¦¸à¦¾à¦¯à¦¼à§€, à¦¤à¦¾à¦²à¦¿à¦¬ à¦†à¦²à§€ à¦“ à¦¤à¦¾à¦° à¦¸à§à¦¤à§à¦°à§€ à¦®à¦²à¦¿ à¦†à¦²à§€à¦° à¦¬à¦¡à¦¼ à¦›à§‡à¦²à§‡à¥¤ à¦¬à§‡à¦¸à¦¿à¦•à§‡à¦° à¦›à§‹à¦Ÿ à¦¬à§‹à¦¨ à¦¨à§‡à¦šà¦¾à¦° à¦†à¦²à§€ à¦®à§‡à¦¡à¦¿à¦•à§‡à¦² à¦•à¦²à§‡à¦œà§‡à¦° à¦›à¦¾à¦¤à§à¦°à§€ à¦“ à¦›à§‹à¦Ÿ à¦­à¦¾à¦‡ à¦®à§à¦¯à¦¾à¦œà¦¿à¦• à¦¸à§à¦•à§à¦²à§‡à¦° à¦›à¦¾à¦¤à§à¦°à¥¤ à¦¬à§‡à¦¸à¦¿à¦•à§‡à¦° à¦˜à¦¨à¦¿à¦·à§à¦  à¦¬à¦¨à§à¦§à§ à¦†à¦¤à§à¦®à¦­à§‹à¦²à¦¾ à¦¹à¦¿à¦²à§à¦²à§‹à¦² à¦à¦¬à¦‚ à¦¬à§‡à¦¸à¦¿à¦•à§‡à¦° à¦¹à§ƒà¦¦à¦•à¦®à§à¦ª à¦¹à¦šà§à¦›à§‡ à¦…à¦«à¦¿à¦¸ à¦•à¦²à¦¿à¦— à¦°à¦¿à¦¯à¦¼à¦¾ à¦¹à¦•à¥¤,à¦à¦¦à§‡à¦° à¦¸à¦¬à¦¾à¦‡à¦•à§‡ à¦¨à¦¿à¦¯à¦¼à§‡à¦‡ à¦…à¦¨à¦¬à¦¦à§à¦¯ à¦•à¦¾à¦°à§à¦Ÿà§à¦¨ à¦¸à§à¦Ÿà§à¦°à¦¿à¦ª-à¦¬à§‡à¦¸à¦¿à¦• à¦†à¦²à§€à¥¤","Sequential Art,Comics,Humor,Humor,Comedy,Childrens,Sequential Art,Graphic Novels",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310488768l/12021810.jpg,,9.85E+12,160,4.37,35,à¦¬à§‡à¦¸à¦¿à¦• à¦†à¦²à§€,589,0.8740000000000001,0.00022043633798558975,0.00015421569145969733,0.002285714285714286
"Giles Andreae,David Wojtowycz",Paperback,"Join this rhyming safari and meet everyone from the elphing elephant to the gangly giraffe, and maybe even the terrible tiger!","Childrens,Picture Books,Animals,Poetry,Childrens,Fiction,Childrens,Storytime,Environment,Nature,Academic,School,Childrens,Juvenile,Humor",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348038240l/1204567.jpg,1589253671,8.05E+11,32,3.97,161,Rumble in the Jungle,2318,0.794,0.001014007154733713,0.0006069133663897765,0.00045714285714285713
Ouarda Saillo,Paperback,"'Je vader wil me vermoorden. Ga snel naar de buren en ga het ze zeggen.' Dat waren de laatste woorden die de vijfjarige Ouarda van haar moeder hoorde. Wanneer Ouarda thuiskomt is haar moeder neergestoken met een mes, overgoten met benzine en in brand gestoken. Na deze gruwelijke moord stort de wereld van Ouarda en haar broer en zusjes volledig in. Hun vader wordt gearresteerd en veroordeeld tot een jarenlange, gevangenisstraf en de kinderen komen onder de hoede van een oom en zijn gezin. Een lange periode van verwaarlozing, vernedering en mishandeling volgt. Dochter van Agadir is het hartverscheurende levensverhaal van een vrouw die moet strijden tegen onderdrukking als gevolg van overtuigingen en gebruiken in de islamitische wereld.","Nonfiction,Biography",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310758548l/12048820.jpg,,9058313204,264,3.9,6,Dochter van Agadir,61,0.78,3.7789086511815385e-05,1.5971404378678332e-05,0.0037714285714285714
David Hackett Fischer,Hardcover,"Six months after the Declaration of Independence, the American Revolution was all but lost. A powerful British force had routed the Americans at New York, occupied three colonies, and advanced within sight of Philadelphia.,Yet, as David Hackett Fischer recounts in this riveting history, George Washington--and many other Americans--refused to let the Revolution die. On Christmas night, as a howling nor'easter struck the Delaware Valley, he led his men across the river and attacked the exhausted Hessian garrison at,Trenton, killing or capturing nearly a thousand men. A second battle of Trenton followed within days. The Americans held off a counterattack by Lord Cornwallis's best troops, then were almost trapped by the British force. Under cover of night, Washington's men stole behind the enemy and struck them,again, defeating a brigade at Princeton. The British were badly shaken. In twelve weeks of winter fighting, their army suffered severe damage, their hold on New Jersey was broken, and their strategy was ruined.,Fischer's richly textured narrative reveals the crucial role of contingency in these events. We see how the campaign unfolded in a sequence of difficult choices by many actors, from generals to civilians, on both sides. While British and German forces remained rigid and hierarchical, Americans,evolved an open and flexible system that was fundamental to their success. The startling success of Washington and his compatriots not only saved the faltering American Revolution, but helped to give it new meaning.","History,Nonfiction,North American Hi...,American History,Military History,American Revolution,American Revolution,American Revolutionary War,War,Military,Military History,Biography,Politics,Presidents,War,Military Fiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353284022l/1206073.jpg,195170342,195170342,564,4.14,432,Washington's Crossing,14088,0.828,0.0027208142288507077,0.003688608932570825,0.008057142857142856
Dobrica Ä†osiÄ‡,Paperback,"UmetniÄki najuspeliji i misaono najdublji, treÄ‡i deo Vremena smrti, smeÅ¡ten je u Valjevsku ratnu bolnicu, simbol ljudske poÅ¾rtvovanosti, humanosti i agonije tokom Prvog svetskog rata i glavni centar za prijem srpskih vojnika, ranjenika i velikog broja izbeglica i zarobljenika, koji su zbog loÅ¡ih higijenskih uslova u bolnici oboleli od epidemije pegavog tifusa, ali u kojoj su se Äudesnim spletom okolnosti i sudbine dogodile i neke od najneverovatnijih i najtragiÄnijih ljubavnih u priÄa savremenoj srpskoj knjiÅ¾evnosti.,â€žOvaj roman â€“ ne bojim se jakih reÄi â€“ uzviÅ¡eni je primer i umetniÄkog umeÄ‡a, i istorijskog oseÄ‡anja, i liÄnog poÅ¡tenja. Ep o Srpskom ratu 1914, uprkos obimnoj i serioznoj dokumetaciji, u prvom redu je magijsko vaskrsenje jednog doba njim samim. Srpski rat postao je, na tlu mape Srbije, Svetski rat, a njegova tragedija, tragedija humaniteta.â€œ, - Borislav PekiÄ‡.","Classics,Fiction,European Literature,Serbian Literature,Historical,Historical Fiction,Historical",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310993015l/12064512.jpg,8670580780,8670580810,540,4.53,1,"Vreme smrti, knjiga III",256,0.9060000000000001,6.298181085302564e-06,6.702753313019103e-05,0.007714285714285714
Dobrica Ä†osiÄ‡,Paperback,"Poslednji deo Vremena smrti ispisuje vrhunac kolektivne drame jednog naroda, paralelno prateÄ‡i herojsku odbranu i pad Beograda u austrougarske ruke, izdaju saveznika i u istoriji nezabeleÅ¾en egzodus srpskog naroda, mojsijevskih razmera, i povlaÄenje srpske vojske preko albanskih planina.,Ostala je samo nada i vera u povratak u otadÅ¾binu...","Classics,Fiction,European Literature,Serbian Literature,Historical,Historical Fiction,Historical",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310992945l/12064517.jpg,,8670580829,621,4.53,2,"Vreme smrti, knjiga IV",222,0.9060000000000001,1.2596362170605129e-05,5.8125438886337534e-05,0.008871428571428572
Nancy Zieman,Paperback,"Presents a collection of sewing tips and techniques, covering such topics as organization, embellishments, quilting, and notions.","Crafts,Sewing",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401846444l/1207205.jpg,873494474,46081004476,143,4.42,1,Sewing with Nancy's Favorite Hints,19,0.884,6.298181085302564e-06,4.974699724506366e-06,0.0020428571428571427
Simon Brett,Hardcover,"A new Simon Brett is an event for mystery fans, - Invited to a Private View of the work of controversial artist Denzil Willoughby, the good citizens of Fethering are not quite sure what to expect. And it turns out to be a lively affair, culminating in several embarrassing confrontations. But what no one could have anticipated was that the evening would end in sudden, violent death. The police seem happy to accept that it was suicide, but Fethering residents Carole and Jude remain unconvinced . . .","Mystery,Fiction,Mystery,Crime,European Literature,British Literature,Mystery,Cozy Mystery,Mystery,Detective,Mystery,Amateur Sleuth",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328055027l/12158041.jpg,,1.98E+12,224,3.56,57,Guns in the Gallery,500,0.7120000000000001,0.00035899632186224615,0.00013091315064490435,0.0031999999999999997
Charles Grier Sellers,Paperback,"The central theme of this study of American life in the early 19th century is the establishment of capitalism. The author argues that, following the Industrial Revolution, two distinct societies were created in the USA: rich and poor, proprietors and labourers, city dwellers and farmers.","History,North American Hi...,American History,Economics,Nonfiction,Literature,19th Century,Politics,Literature,American,The United States Of America",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348984984l/1216850.jpg,195089200,195089200,512,3.57,18,"The Market Revolution: Jacksonian America, 1815-1846",233,0.714,0.00011336725953544615,6.100552820052543e-05,0.007314285714285714
Steve Morse,Paperback,"Most people know the part about them doing what they love to do best in front of a throng of adoring fans. The less obvious part of a musician's job description can include dealing with a broken-down band bus, lights falling from the stage, people who don't pay, and other occupational hazards. In this collection of 50 Guitar magazine columns from the mid-'90s on, guitarist Steve Morse (Steve Morse Band, Dixie Dregs, Deep Purple) sets the story straight about what being a working musician really means. He deals out philosophy and practical advice on: playing with the band, songwriting and developing a style, recording and equipment, and much more, through anecdotes of his many fascinating hard-knock lessons learned. ""Self-teaching, adjusting to fit the situation, and good people skills are the keys to making it happen. Learning these skills, in addition to mastering technique, seems to be the way to go."" - Steve Morse",Unknown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348033410l/1221686.jpg,1575603640,73999291162,128,4.67,1,Guitar One Presents Open Ears: A Journey Through Life with Guitar in Hand,12,0.934,6.298181085302564e-06,3.1419156154777045e-06,0.0018285714285714285
John D. McCann,Paperback,"An emergency can arise at anytime. Now everyone from the average commuter to the risk-taking sportsman can benefit from these just-in-case kits that may just save a life. Build the Perfect Survival Kit offers a number of kits, from very basic pocket-sized ones with just the essentials to elaborate ones designed for weeks of surviving in the wilderness. The book advocates careful advance planning and building a personalized kit specifically tailored to each outing or possible emergency that may be encountered. Readers will learn about the eight categories of gear: Fire and Light, Signaling, Water and Food, Shelter and Protection, Knives and Tools, Multi-purpose Items and Miscellaneous Items, and what to pack into a kit for their pocket, glove box, four-wheeler, car boot, backpack and more.","Adventure,Survival,Reference,Self Help,Nature,Outdoors,Nonfiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349053636l/1222936.jpg,873499670,46081009679,192,3.87,7,Build the Perfect Survival Kit,79,0.774,4.408726759711795e-05,2.068427780189489e-05,0.002742857142857143
Jim Weiss,Audiocd,"Includes: The Great Myths of Egypt, Osiris and Set, The Secret Name of Ra-Amun, A Rival for the Throne, The Courage of Isis, The Pyramid Builders and The Mummy s Tomb. Format: 7 tracks, Audio CDPublisher: Greathall ProductionsNarrator: Jim WeissISBN: 1882513479","Northern Africa,Egypt,History,Fantasy,Mythology,History,Ancient History",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387708901l/1230377.jpg,1882513479,7.60E+11,0,4.18,5,Egyptian Treasures: Mummies and Myths (Galileo and the Stargazers),28,0.836,3.149090542651282e-05,7.331136436114644e-06,0.0
